ids,locales,prices,bedrooms,sqft,dates,titles,data.latitude,data.longitude,data.accuracy,links,north,north_work
7143721209,,1094,2,860,2020-06-17 17:06,"Fireplace, Fireplace, Air Conditioning, Sparkling Swimming Pool",40.7145,-111.8931,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-fireplace-fireplace-air/7143721209.html,0.0649669999999958,3.44325099999978
7143711009, (Bountiful),1050,1,757,2020-06-17 16:59,$500 Off Your Move! Only 1 Home Left Avaialble!,40.869751,-111.889758,10,https://saltlakecity.craigslist.org/apa/d/bountiful-500-off-your-move-only-1-home/7143711009.html,0.0683089999999993,3.62037699999996
7127930400," (Millcreek, UT)",1150,2,856,2020-06-17 16:40,PARKWAY COMMONS! 2 Bedroom 2 Bathroom WASHER/DRYER INCLUDED!,40.687131,-111.916217,10,https://saltlakecity.craigslist.org/apa/d/west-valley-city-parkway-commons-2/7127930400.html,0.0418499999999966,2.21804999999982
7143706821, (Salt Lake City),1243,2,877,2020-06-17 16:38,"Find Your Freedom, Without Leaving Home 2B 2B",40.79469,-111.939133,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-find-your-freedom/7143706821.html,0.0189340000000016,1.00350200000008
7143689074,,1400,2,944,2020-06-17 16:31,Love Where You Live,40.5144,-112.0325,22,https://saltlakecity.craigslist.org/apa/d/herriman-love-where-you-live/7143689074.html,-0.0744329999999991,-3.94494899999995
7143702037,,1149,2,,2020-06-17 16:30,"Courtesy Patro, Additional Storage Available, Swimming Pool, BBQ Area",40.6916,-112.0011,22,https://saltlakecity.craigslist.org/apa/d/west-valley-city-courtesy-patro/7143702037.html,-0.0430329999999941,-2.28074899999969
7143692810,,1069,1,,2020-06-17 16:26,$500 Off When You Pre-Lease Your Home for July! Call Today!,40.62994,-111.830649,5,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-500-off-when-you-pre/7143692810.html,0.127418000000006,6.75315400000031
7143699319,,1094,2,817,2020-06-17 16:25,"Playground, Stainless Steel Appliances, Walk-in Closet, Clubhouse",40.5144,-112.0325,22,https://saltlakecity.craigslist.org/apa/d/herriman-playground-stainless-steel/7143699319.html,-0.0744329999999991,-3.94494899999995
7143697679, (Cotton Wood),1099,1,,2020-06-17 16:22,Receive ONE MONTH FREE!,40.624261,-111.84833,5,https://saltlakecity.craigslist.org/apa/d/midvale-receive-one-month-free/7143697679.html,0.109736999999996,5.81606099999976
7143690364, (Midvale),849,1,418,2020-06-17 16:16,$500 OFF June!!! This Unit Only!,40.622247,-111.889968,10,https://saltlakecity.craigslist.org/apa/d/midvale-500-off-june-this-unit-only/7143690364.html,0.0680990000000037,3.6092470000002
7143693305, (SLC),1699,1,970,2020-06-17 16:14,Luxurious Living Right Across from Sugar House Park!,40.7056,-111.8548,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-luxurious-living-right/7143693305.html,0.103267000000002,5.47315100000013
7143684484, (Salt Lake City),1429,1,713,2020-06-17 16:09,"New Deals Available, Today Only",40.769046,-111.881669,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-new-deals-available/7143684484.html,0.0763979999999975,4.04909399999987
7143688678, (Salt Lake City),1250,2,1073,2020-06-17 16:06,Wooow!!! Amazing Mountain Views!!!,40.7145,-111.8931,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-wooow-amazing-mountain/7143688678.html,0.0649669999999958,3.44325099999978
7143688681,,1570,2,1106,2020-06-17 16:06,Spacious and Luxurious 2 Bedroom!,40.5541,-111.9539,22,https://saltlakecity.craigslist.org/apa/d/south-jordan-spacious-and-luxurious-2/7143688681.html,0.00416699999999537,0.220850999999755
7143688555,,1425,2,1106,2020-06-17 16:06,A Sparkling New Place For You to Call Home!,40.5541,-111.9539,22,https://saltlakecity.craigslist.org/apa/d/south-jordan-sparkling-new-place-for/7143688555.html,0.00416699999999537,0.220850999999755
7143688511,,1085,1,644,2020-06-17 16:06,Get Ready To Soak Up The Sun From Our Balconies!,40.5541,-111.9539,22,https://saltlakecity.craigslist.org/apa/d/south-jordan-get-ready-to-soak-up-the/7143688511.html,0.00416699999999537,0.220850999999755
7143688446,,1070,1,727,2020-06-17 16:06,Granite Countertops and Hardwood Floors!,40.5541,-111.9539,22,https://saltlakecity.craigslist.org/apa/d/south-jordan-granite-countertops-and/7143688446.html,0.00416699999999537,0.220850999999755
7143688388,,1195,1,855,2020-06-17 16:06,Jordan Station Has All the Amenities You're Looking For!,40.5541,-111.9539,22,https://saltlakecity.craigslist.org/apa/d/south-jordan-jordan-station-has-all-the/7143688388.html,0.00416699999999537,0.220850999999755
7143687297,,1375,2,1022,2020-06-17 16:04,Set Your Sights on Your Next Summer Home!,40.5541,-111.9539,22,https://saltlakecity.craigslist.org/apa/d/south-jordan-set-your-sights-on-your/7143687297.html,0.00416699999999537,0.220850999999755
7143687203,,1485,2,1022,2020-06-17 16:04,Dazzling New Apartments Ready For Summer!,40.5541,-111.9539,22,https://saltlakecity.craigslist.org/apa/d/south-jordan-dazzling-new-apartments/7143687203.html,0.00416699999999537,0.220850999999755
7143687165,,1240,2,910,2020-06-17 16:04,We Love Pets!!,40.5541,-111.9539,22,https://saltlakecity.craigslist.org/apa/d/south-jordan-we-love-pets/7143687165.html,0.00416699999999537,0.220850999999755
7143687148, (South Jordan),1085,1,644,2020-06-17 16:04,Come experience what it would be like living at Jordan Station Apts.,40.561398,-111.925818,15,https://saltlakecity.craigslist.org/apa/d/sandy-come-experience-what-it-would-be/7143687148.html,0.0322489999999931,1.70919699999963
7143687108, (South Jordan),1115,1,727,2020-06-17 16:04,Your pet will love it here at Jordan Station Apartments!,40.561398,-111.925818,15,https://saltlakecity.craigslist.org/apa/d/sandy-your-pet-will-love-it-here-at/7143687108.html,0.0322489999999931,1.70919699999963
7143685887, (South Jordan),1280,2,910,2020-06-17 16:02,Bring your family gathering to a place that feels like home.,40.561398,-111.925818,15,https://saltlakecity.craigslist.org/apa/d/sandy-bring-your-family-gathering-to/7143685887.html,0.0322489999999931,1.70919699999963
7143683914, (Midvale),995,2,825,2020-06-17 15:58,Move-In Saturday & Bring Your Fur Friends! Come In Today ~ $100 Off!,40.6152,-111.8851,22,https://saltlakecity.craigslist.org/apa/d/midvale-move-in-saturday-bring-your-fur/7143683914.html,0.0729670000000056,3.86725100000029
7143681158, (Border of Sandy & West Jordan),995,1,672,2020-06-17 15:54,Pet friendly community in Sandy. 1 BD / 1 BA. Call for tour!,40.580755,-111.915094,10,https://saltlakecity.craigslist.org/apa/d/sandy-pet-friendly-community-in-sandy-1/7143681158.html,0.0429730000000035,2.27756900000018
